MeV --,2,4,6,8,10,12
Op voltage,Peak current(mA),Peak current(mA),Peak current(mA),Peak current(mA),Peak current(mA),Peak current(mA)
1.0,1.10,1.80,2.40,2.80,3.10,3.25
0.9,1.03,1.69,2.26,2.63,2.91,3.06
0.8,0.97,1.58,2.11,2.46,2.73,2.86
0.7,0.90,1.48,1.97,2.30,2.54,2.67
0.6,0.84,1.37,1.82,2.13,2.36,2.47
0.5,0.77,1.26,1.68,1.96,2.17,2.28
0.4,0.70,1.15,1.54,1.79,1.98,2.08
0.3,0.64,1.04,1.39,1.62,1.80,1.89
0.2,0.57,0.94,1.25,1.46,1.61,1.69
0.1,0.51,0.83,1.10,1.29,1.43,1.50
0.0,0.44,0.72,0.96,1.12,1.24,1.30
To be subtracted,0.07,0.11,0.14,0.17,0.19,0.20
